Age,Country,EducationLevel,EducationOther,StudyField,StudyFieldOther,Familiarity,UsesAI,Frequency,Purpose,PurposeOther,Tools,ToolsOther,GPTVersion,GPTPaid,ImproveUnderstanding,ImprovePerformance,TimeStudying,UsageHours,ChangeApproach,DescribeChange,VerifyInfo,Dependency,Benefits,BenefitsOther,Challenge,ChallengeOther,AverageBefore,AverageAfter,YearStarted,HoursPW2021,HoursPW2022,HoursPW2023,HoursPW2024,Improvement2021,Improvement2022,Improvement2023,Improvement2024,LikelihoodContinueUsage,Q8CodingHelp,Q8ConceptUnderstanding,Q8OtherBinary,Q8ResearchAssistance,Q8StudyScheduling,Q8WritingAssistance,ChatGPT,Google Gemini,Jasper,Midjourney,Q9OtherBinary
22,Lebanon ,Graduate student,,Computer Science,,3,Yes,Weekly,"Research assistance,Writing assistance,Coding or technical help,Concept understanding",,ChatGPT,,GPT-3.5 (Free),Maybe,4,Probably not,Decreased,2,Yes,"I am more dependent on ai 
Less self dependent …lazier ",Rarely,4,Time-saving,,Dependency on AI,,70,70,2023,,,2,2,,,2,2,4,1,1,0,1,0,1,1,0,0,0,0
23,Lebanon ,Graduate student,,Computer Science,,5,Yes,Daily,"Coding or technical help,Concept understanding",,ChatGPT,,I use both equally,,4,Definitely yes,Decreased,7,Yes,,Rarely,4,Time-saving,,Dependency on AI,,64,65,2023,,,2,7,,,2,4,5,1,1,0,0,0,0,1,0,0,0,0
21,Lebanon,Graduate student,,Other (please specify),Data Science,5,Yes,Daily,"Research assistance,Writing assistance,Coding or technical help,Concept understanding",,"ChatGPT,Google Gemini",,GPT-4 (Paid),,4,Probably yes,Increased,7,Yes,It helped me understand my assignments better and changed the way i think,Often,4,Increased understanding,,Dependency on AI,,75,75,2022,,20,20,7,,3,3,4,5,1,1,0,1,0,1,1,1,0,0,0
21,Lebanon,Graduate student,,Nursing,,2,No,,"Research assistance,Writing assistance",,ChatGPT,,GPT-3.5 (Free),No,3,Probably yes,Decreased,10,Yes,,Sometimes,4,Time-saving,,Reliability of information,,,,2023,,,20,10,,,3,4,4,0,0,0,1,0,1,1,0,0,0,0
22,Lebanon,Graduate student,,Business,,5,No,,Research assistance,,ChatGPT,,GPT-3.5 (Free),Maybe,4,Probably yes,Decreased,22,Yes,It's saved me alot of time ,Sometimes,4,Other (please specify),All of the above,Dependency on AI,,,,2023,,,6,22,,,3,4,3,0,0,0,1,0,0,1,0,0,0,0
22,Lebanon,PhD student,,Education,,5,Yes,Weekly,Research assistance,,"ChatGPT,Google Gemini",,GPT-3.5 (Free),Maybe,4,Probably yes,Increased,8,Yes,"Increased my information
",Always,3,Time-saving,,"Ethical concerns (e.g., plagiarism)",,71,90,2023,,,5,7,,,4,5,4,0,0,0,1,0,0,1,1,0,0,0
20,Lebanon,Undergraduate student,,Computer Science,,5,Yes,Daily,"Research assistance,Coding or technical help,Concept understanding",,"ChatGPT,Google Gemini",,GPT-3.5 (Free),Maybe,4,Definitely yes,Decreased,3.5,Yes,"Especially for programming stuff, no need to actually grasp every detail in order to apply your knowledge into something (project). With AI it is easier to know what is crucial, and understand those concepts at a certain level of abstraction. Then while coding, AI tools could bring down a lot of the syntax headache so i focus more on the features, design, optimization...",Sometimes,3,Time-saving,,Dependency on AI,,75,75,2022,,,,,,,,,5,1,1,0,1,0,0,1,1,0,0,0
25,Lebanon,Undergraduate student,,Computer Science,,5,Yes,Daily,"Coding or technical help,Concept understanding",,"ChatGPT,Google Gemini",,GPT-3.5 (Free),No,5,Probably yes,Increased,8,Yes,,Sometimes,4,Increased understanding,,Reliability of information,,,65,2022,,5,6,8,,3,4,4,5,1,1,0,0,0,0,1,1,0,0,0
29,Lebanon,Graduate student,,Architecture / Design,,2,No,,Research assistance,,Google Gemini,,,,3,Probably yes,Decreased,3,Yes,Very good,Sometimes,3,Increased understanding,,Distraction,,,,2022,,1,2,3,,2,3,4,3,0,0,0,1,0,0,0,1,0,0,0
20,Lebanon,Undergraduate student,,Other (please specify),Physical therapy ,5,Yes,Daily,Research assistance,,ChatGPT,,GPT-3.5 (Free),Maybe,3,Probably yes,No change,1,Yes,Makes it easier ,Often,4,Increased understanding,,Lack of guidance on usage,,60,73,2022,,1,1,1,,2,3,4,5,0,0,0,1,0,0,1,0,0,0,0
